id,parentId,name,lastName,email,department,position,image
39,36,Andrea,Pierre,andrea.pierre@placebo-pharma.com,Compliance,Auditor Intern,https://bumbeishvili.github.io/avatars/avatars/portrait58.png
62,36,Yuliy,Sirotyuk,yuliy.sirotyuk@placebo-pharma.com,Compliance,Auditor,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
40,3,Abhimanyu,Taj,abhimanyu.taj@placebo-pharma.com,Finance,Accounting,https://bumbeishvili.github.io/avatars/avatars/portrait65.png
41,3,Eleni,Galle,eleni.galle@placebo-pharma.com,Finance,Accounting,https://bumbeishvili.github.io/avatars/avatars/portrait67.png
42,3,Gorun,Petrishin,gorun.petrishin@placebo-pharma.com,Finance,Operations Management,https://bumbeishvili.github.io/avatars/avatars/portrait14.png
43,1,Alexis,Gauthier,alexis.gauthier@placebo-pharma.com,Marketing,Director of Marketing,https://bumbeishvili.github.io/avatars/avatars/portrait71.png
44,43,Chad,Fisher,chad.fisher@placebo-pharma.com,Marketing,Marketing,https://bumbeishvili.github.io/avatars/avatars/portrait73.png
54,43,Jeanne,Cruz,jeanne.cruz@placebo-pharma.com,Marketing,Marketing Intern,https://bumbeishvili.github.io/avatars/avatars/portrait86.png
46,1,Moustafa,Janmaat,moustafa.janmaat@placebo-pharma.com,HR,Human Resources,https://bumbeishvili.github.io/avatars/avatars/portrait81.png
47,1,Surma,Marusik,surma.marusik@placebo-pharma.com,HR,Human Resources,https://bumbeishvili.github.io/avatars/avatars/portrait15.png
48,3,Claro,Ramos,claro.ramos@placebo-pharma.com,Sales,Sales Manager,https://bumbeishvili.github.io/avatars/avatars/portrait82.png
49,48,Marcus,Jimenez,marcus.jimenez@placebo-pharma.com,Sales,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait83.png
50,48,Otto,Grytten,otto.grytten@placebo-pharma.com,Sales,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait32.png
61,48,June,Pena,june.pena@placebo-pharma.com,Sales,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait56.png
53,48,Claudete,Farias,claudete.farias@placebo-pharma.com,Sales,Sales Representative,https://bumbeishvili.github.io/avatars/avatars/portrait90.png
64,2,Kassandra,Kistner,kassandra.kistner@placebo-pharma.com,Facilities,Director,https://bumbeishvili.github.io/avatars/avatars/portrait83.png
65,64,Aapo,Kemppainen,aapo.kemppainen@placebo-pharma.com,Facilities,Repair Technician,https://bumbeishvili.github.io/avatars/avatars/portrait6.png
66,64,Sophia,Dixon,sophia.dixon@placebo-pharma.com,Facilities,Repair Technician,https://bumbeishvili.github.io/avatars/avatars/portrait85.png
67,64,Kirk,Johnson,kirk.johnson@placebo-pharma.com,Facilities,Cheif Cleanliness Officer,https://bumbeishvili.github.io/avatars/avatars/portrait56.png
